Delta_with_1_last_read_pattern,Delta_with_1_last_read_most_frequent_delta,Delta_with_1_last_read_mean_abs_delta,Delta_with_1_last_read_n_stride_changes,Delta_with_1_last_write_pattern,Delta_with_1_last_write_most_frequent_delta,Delta_with_1_last_write_mean_abs_delta,Delta_with_1_last_write_n_stride_changes,Delta_with_2_last_read_pattern,Delta_with_2_last_read_most_frequent_delta,Delta_with_2_last_read_mean_abs_delta,Delta_with_2_last_read_n_stride_changes,Delta_with_2_last_write_pattern,Delta_with_2_last_write_most_frequent_delta,Delta_with_2_last_write_mean_abs_delta,Delta_with_2_last_write_n_stride_changes,Delta_with_3_last_read_pattern,Delta_with_3_last_read_most_frequent_delta,Delta_with_3_last_read_mean_abs_delta,Delta_with_3_last_read_n_stride_changes,Delta_with_3_last_write_pattern,Delta_with_3_last_write_most_frequent_delta,Delta_with_3_last_write_mean_abs_delta,Delta_with_3_last_write_n_stride_changes,Delta_with_1_next_read_pattern,Delta_with_1_next_read_most_frequent_delta,Delta_with_1_next_read_mean_abs_delta,Delta_with_1_next_read_n_stride_changes,Delta_with_1_next_write_pattern,Delta_with_1_next_write_most_frequent_delta,Delta_with_1_next_write_mean_abs_delta,Delta_with_1_next_write_n_stride_changes,Delta_with_2_next_read_pattern,Delta_with_2_next_read_most_frequent_delta,Delta_with_2_next_read_mean_abs_delta,Delta_with_2_next_read_n_stride_changes,Delta_with_2_next_write_pattern,Delta_with_2_next_write_most_frequent_delta,Delta_with_2_next_write_mean_abs_delta,Delta_with_2_next_write_n_stride_changes,Delta_with_3_next_read_pattern,Delta_with_3_next_read_most_frequent_delta,Delta_with_3_next_read_mean_abs_delta,Delta_with_3_next_read_n_stride_changes,Delta_with_3_next_write_pattern,Delta_with_3_next_write_most_frequent_delta,Delta_with_3_next_write_mean_abs_delta,Delta_with_3_next_write_n_stride_changes,code_segment_transitions,n_reads,n_writes,dominant_type_subsequence,entropy_of_addresses,entropy_of_pc
"Null,-8.0,-16.0,-46554853803208.0,46554853803184.0,16.0,46554853803088.0,0.0",-8,19952080201360.0,1,"Null,Null,-8.0,-46554853803192.0,-8.0,-46554853803168.0,-80.0,-80.0",-8,15518284601089.334,0,"Null,Null,-16.0,-46554853803208.0,-24.0,-46554853803192.0,-104.0,46554853803104.0",-16,23277426901608.0,1,"Null,Null,Null,-46554853803200.0,-16.0,-46554853803184.0,-88.0,-88.0",-88,18621941521315.2,0,"Null,Null,Null,-46554853803208.0,-24.0,-46554853803192.0,46554853803104.0,46554853803104.0",46554853803104,37243883042526.4,1,"Null,Null,Null,Null,-16.0,-46554853803176.0,-88.0,-96.0",-16,11638713450844.0,0,"-46554853803208.0,-46554853803200.0,-46554853803192.0,16.0,-46554853803168.0,46554853803088.0,0.0,-956277443792.0",-46554853803208,29216318307458.0,4,"-8.0,-8.0,-8.0,46554853803184.0,-248.0,46554853802920.0,-168.0,-168.0",-8,11638713450839.0,4,"-46554853803192.0,-46554853803184.0,-88.0,46554853803104.0,-80.0,45598576359296.0,-596.0,-596.0",-596,23157892221267.0,4,"-24.0,-264.0,-256.0,46554853802928.0,-256.0,46554853802912.0,-176.0,-596.0",-256,11638713450926.5,4,"-104.0,-96.0,-88.0,45598576359312.0,-676.0,46554853802492.0,-596.0,-596.0",-596,11519178770495.0,4,"-280.0,-272.0,-684.0,46554853802508.0,-676.0,46554853802492.0,-584.0,-584.0",-584,11638713451010.0,4,4,5,3,R (5),2.75,2.75
"-168.0,-956277443792.0,956277443616.0,956277443196.0,956277443196.0,0.0,0.0,12.0",956277443196,478138721747.5,1,"-248.0,-956277443624.0,-8.0,-420.0,0.0,0.0,0.0,12.0",0,119534680539.0,1,"46554853802920.0,-956277443792.0,-176.0,-596.0,-596.0,-596.0,956277443196.0,12.0",-596,6058426086485.5,2,"-256.0,-956277443880.0,-256.0,-676.0,-428.0,-420.0,-420.0,-408.0",-256,119534680843.0,0,"-272.0,45598576359312.0,46554853802912.0,46554853802492.0,-596.0,-596.0,-596.0,-584.0",-596,17338535495920.0,2,"-264.0,-956277443888.0,-272.0,-684.0,-684.0,-676.0,-428.0,-416.0",-684,119534680914.0,0,"-956277443624.0,956277443196.0,-420.0,0.0,0.0,0.0,0.0,-12.0",0,239069360906.5,2,"-8.0,956277443616.0,-420.0,12.0,12.0,12.0,12.0,-12.0",12,119534680513.0,4,"-428.0,956277443196.0,-420.0,0.0,0.0,0.0,0.0,-12.0",0,119534680507.0,2,"-428.0,956277443208.0,-420.0,0.0,0.0,0.0,16.0,4.0",0,119534680509.5,3,"-428.0,956277443196.0,-420.0,0.0,0.0,0.0,0.0,-12.0",0,119534680507.0,2,"-428.0,956277443212.0,-404.0,16.0,16.0,0.0,0.0,8.0",16,119534680510.5,3,0,4,4,W (4),2.0,3.0
"0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0",0,2.0,0,"-12.0,-12.0,0.0,0.0,0.0,16.0,-16.0,-16.0",0,9.0,2,"0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0",0,2.0,0,"-420.0,0.0,0.0,-12.0,-12.0,4.0,-12.0,0.0",0,57.5,2,"956277443196.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0",0,119534680401.5,0,"-428.0,-428.0,-420.0,-420.0,0.0,16.0,0.0,0.0",0,214.0,1,"0.0,0.0,0.0,0.0,0.0,-16.0,0.0,0.0",0,2.0,0,"0.0,16.0,16.0,16.0,16.0,-16.0,0.0,20.0",16,12.5,2,"0.0,0.0,0.0,0.0,0.0,-16.0,0.0,0.0",0,2.0,0,"0.0,0.0,0.0,0.0,20.0,4.0,0.0,0.0",0,3.0,0,"0.0,0.0,0.0,0.0,0.0,-16.0,0.0,0.0",0,2.0,0,"20.0,20.0,20.0,0.0,0.0,8.0,24.0,24.0",20,14.5,0,0,5,3,R (5),0.5435644431995964,2.0
"0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0",0,2.5,0,"0.0,0.0,0.0,20.0,-20.0,-20.0,0.0,0.0",0,7.5,1,"0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0",0,2.5,0,"0.0,-16.0,-16.0,4.0,-16.0,0.0,0.0,-20.0",0,9.0,2,"0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0",0,2.5,0,"-12.0,-12.0,0.0,20.0,0.0,0.0,-16.0,-16.0",0,9.5,2,"0.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0",0,2.5,0,"20.0,20.0,20.0,-20.0,0.0,24.0,24.0,24.0",20,19.0,2,"0.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0",0,2.5,0,"0.0,0.0,24.0,4.0,0.0,0.0,0.0,0.0",0,3.5,0,"0.0,0.0,0.0,-20.0,0.0,0.0,0.0,0.0",0,2.5,0,"24.0,0.0,0.0,8.0,28.0,28.0,28.0,0.0",0,14.5,0,0,6,2,R (6),0.5435644431995964,2.25
"0.0,24.0,0.0,0.0,0.0,0.0,0.0,28.0",0,6.5,0,"0.0,24.0,-24.0,-24.0,0.0,0.0,0.0,28.0",0,12.5,2,"0.0,24.0,0.0,0.0,0.0,0.0,0.0,28.0",0,6.5,0,"-20.0,4.0,-20.0,0.0,0.0,-24.0,-24.0,4.0",-20,12.0,3,"0.0,24.0,0.0,0.0,0.0,0.0,0.0,28.0",0,6.5,0,"0.0,24.0,0.0,0.0,-20.0,-20.0,0.0,28.0",0,11.5,2,"0.0,-24.0,0.0,0.0,0.0,0.0,0.0,-28.0",0,6.5,0,"24.0,-24.0,0.0,28.0,28.0,28.0,28.0,-28.0",28,23.5,3,"0.0,-24.0,0.0,0.0,0.0,0.0,0.0,-28.0",0,6.5,0,"28.0,4.0,0.0,0.0,0.0,0.0,32.0,4.0",0,8.5,0,"0.0,-24.0,0.0,0.0,0.0,0.0,0.0,-28.0",0,6.5,0,"0.0,8.0,32.0,32.0,32.0,0.0,0.0,8.0",0,14.0,0,0,5,3,R (5),1.061278124459133,2.25
"0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0",0,4.0,0,"-28.0,-28.0,0.0,0.0,0.0,32.0,-32.0,-32.0",0,19.0,2,"0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0",0,4.0,0,"-24.0,0.0,0.0,-28.0,-28.0,4.0,-28.0,0.0",0,14.0,2,"0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0",0,4.0,0,"0.0,0.0,-24.0,-24.0,0.0,32.0,0.0,0.0",0,10.0,1,"0.0,0.0,0.0,0.0,0.0,-32.0,0.0,0.0",0,4.0,0,"0.0,32.0,32.0,32.0,32.0,-32.0,0.0,36.0",32,24.5,2,"0.0,0.0,0.0,0.0,0.0,-32.0,0.0,0.0",0,4.0,0,"0.0,0.0,0.0,0.0,36.0,4.0,0.0,0.0",0,5.0,0,"0.0,0.0,0.0,0.0,0.0,-32.0,0.0,0.0",0,4.0,0,"36.0,36.0,36.0,0.0,0.0,8.0,40.0,40.0",36,24.5,0,0,5,3,R (5),0.5435644431995964,2.0
"0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0",0,4.5,0,"0.0,0.0,0.0,36.0,-36.0,-36.0,0.0,0.0",0,13.5,1,"0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0",0,4.5,0,"0.0,-32.0,-32.0,4.0,-32.0,0.0,0.0,-36.0",0,17.0,2,"0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0",0,4.5,0,"-28.0,-28.0,0.0,36.0,0.0,0.0,-32.0,-32.0",0,19.5,2,"0.0,0.0,0.0,-36.0,0.0,0.0,0.0,0.0",0,4.5,0,"36.0,36.0,36.0,-36.0,0.0,40.0,40.0,40.0",36,33.0,2,"0.0,0.0,0.0,-36.0,0.0,0.0,0.0,0.0",0,4.5,0,"0.0,0.0,40.0,4.0,0.0,0.0,0.0,0.0",0,5.5,0,"0.0,0.0,0.0,-36.0,0.0,0.0,0.0,0.0",0,4.5,0,"40.0,0.0,0.0,8.0,44.0,44.0,44.0,0.0",0,22.5,0,0,6,2,R (6),0.5435644431995964,2.25
"0.0,40.0,0.0,0.0,0.0,0.0,0.0,44.0",0,10.5,0,"0.0,40.0,-40.0,-40.0,0.0,0.0,0.0,44.0",0,20.5,2,"0.0,40.0,0.0,0.0,0.0,0.0,0.0,44.0",0,10.5,0,"-36.0,4.0,-36.0,0.0,0.0,-40.0,-40.0,4.0",-36,20.0,3,"0.0,40.0,0.0,0.0,0.0,0.0,0.0,44.0",0,10.5,0,"0.0,40.0,0.0,0.0,-36.0,-36.0,0.0,44.0",0,19.5,2,"0.0,-40.0,0.0,0.0,0.0,0.0,0.0,-44.0",0,10.5,0,"40.0,-40.0,0.0,44.0,44.0,44.0,44.0,-44.0",44,37.5,3,"0.0,-40.0,0.0,0.0,0.0,0.0,0.0,-44.0",0,10.5,0,"44.0,4.0,0.0,0.0,0.0,0.0,48.0,4.0",0,12.5,0,"0.0,-40.0,0.0,0.0,0.0,0.0,0.0,-44.0",0,10.5,0,"0.0,8.0,48.0,48.0,48.0,0.0,0.0,8.0",0,20.0,0,0,5,3,R (5),1.061278124459133,2.25
"0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0",0,6.0,0,"-44.0,-44.0,0.0,0.0,0.0,48.0,-48.0,-48.0",0,29.0,2,"0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0",0,6.0,0,"-40.0,0.0,0.0,-44.0,-44.0,4.0,-44.0,0.0",0,22.0,2,"0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0",0,6.0,0,"0.0,0.0,-40.0,-40.0,0.0,48.0,0.0,0.0",0,16.0,1,"0.0,0.0,0.0,0.0,0.0,-48.0,0.0,0.0",0,6.0,0,"0.0,48.0,48.0,48.0,48.0,-48.0,0.0,52.0",48,36.5,2,"0.0,0.0,0.0,0.0,0.0,-48.0,0.0,0.0",0,6.0,0,"0.0,0.0,0.0,0.0,52.0,4.0,0.0,0.0",0,7.0,0,"0.0,0.0,0.0,0.0,0.0,-48.0,0.0,0.0",0,6.0,0,"52.0,52.0,52.0,0.0,0.0,8.0,56.0,56.0",52,34.5,0,0,5,3,R (5),0.5435644431995964,2.0
"0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0",0,6.5,0,"0.0,0.0,0.0,52.0,-52.0,-52.0,0.0,0.0",0,19.5,1,"0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0",0,6.5,0,"0.0,-48.0,-48.0,4.0,-48.0,0.0,0.0,-52.0",0,25.0,2,"0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0",0,6.5,0,"-44.0,-44.0,0.0,52.0,0.0,0.0,-48.0,-48.0",0,29.5,2,"0.0,0.0,0.0,-52.0,0.0,0.0,0.0,0.0",0,6.5,0,"52.0,52.0,52.0,-52.0,0.0,56.0,56.0,56.0",52,47.0,2,"0.0,0.0,0.0,-52.0,0.0,0.0,0.0,0.0",0,6.5,0,"0.0,0.0,56.0,4.0,0.0,0.0,0.0,0.0",0,7.5,0,"0.0,0.0,0.0,-52.0,0.0,0.0,0.0,0.0",0,6.5,0,"56.0,0.0,0.0,8.0,60.0,60.0,60.0,0.0",0,30.5,0,0,6,2,R (6),0.5435644431995964,2.25
"0.0,56.0,0.0,0.0,0.0,0.0,0.0,60.0",0,14.5,0,"0.0,56.0,-56.0,-56.0,0.0,0.0,0.0,60.0",0,28.5,2,"0.0,56.0,0.0,0.0,0.0,0.0,0.0,60.0",0,14.5,0,"-52.0,4.0,-52.0,0.0,0.0,-56.0,-56.0,4.0",-52,28.0,3,"0.0,56.0,0.0,0.0,0.0,0.0,0.0,60.0",0,14.5,0,"0.0,56.0,0.0,0.0,-52.0,-52.0,0.0,60.0",0,27.5,2,"0.0,-56.0,0.0,0.0,0.0,0.0,0.0,-60.0",0,14.5,0,"56.0,-56.0,0.0,60.0,60.0,60.0,60.0,-60.0",60,51.5,3,"0.0,-56.0,0.0,0.0,0.0,0.0,0.0,-60.0",0,14.5,0,"60.0,4.0,0.0,0.0,0.0,0.0,64.0,4.0",0,16.5,0,"0.0,-56.0,0.0,0.0,0.0,0.0,0.0,-60.0",0,14.5,0,"0.0,8.0,64.0,64.0,64.0,0.0,0.0,8.0",0,26.0,0,0,5,3,R (5),1.061278124459133,2.25
"0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0",0,8.0,0,"-60.0,-60.0,0.0,0.0,0.0,64.0,-64.0,-64.0",0,39.0,2,"0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0",0,8.0,0,"-56.0,0.0,0.0,-60.0,-60.0,4.0,-60.0,0.0",0,30.0,2,"0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0",0,8.0,0,"0.0,0.0,-56.0,-56.0,0.0,64.0,0.0,0.0",0,22.0,1,"0.0,0.0,0.0,0.0,0.0,-64.0,0.0,0.0",0,8.0,0,"0.0,64.0,64.0,64.0,64.0,-64.0,0.0,68.0",64,48.5,2,"0.0,0.0,0.0,0.0,0.0,-64.0,0.0,0.0",0,8.0,0,"0.0,0.0,0.0,0.0,68.0,4.0,0.0,0.0",0,9.0,0,"0.0,0.0,0.0,0.0,0.0,-64.0,0.0,0.0",0,8.0,0,"68.0,68.0,68.0,0.0,0.0,8.0,72.0,72.0",68,44.5,0,0,5,3,R (5),0.5435644431995964,2.0
"0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0",0,8.5,0,"0.0,0.0,0.0,68.0,-68.0,-68.0,0.0,0.0",0,25.5,1,"0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0",0,8.5,0,"0.0,-64.0,-64.0,4.0,-64.0,0.0,0.0,-68.0",0,33.0,2,"0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0",0,8.5,0,"-60.0,-60.0,0.0,68.0,0.0,0.0,-64.0,-64.0",0,39.5,2,"0.0,0.0,0.0,-68.0,0.0,0.0,0.0,0.0",0,8.5,0,"68.0,68.0,68.0,-68.0,0.0,72.0,72.0,72.0",68,61.0,2,"0.0,0.0,0.0,-68.0,0.0,0.0,0.0,0.0",0,8.5,0,"0.0,0.0,72.0,4.0,0.0,0.0,0.0,0.0",0,9.5,0,"0.0,0.0,0.0,-68.0,0.0,0.0,0.0,0.0",0,8.5,0,"72.0,0.0,0.0,8.0,76.0,76.0,76.0,0.0",0,38.5,0,0,6,2,R (6),0.5435644431995964,2.25
"0.0,72.0,0.0,0.0,0.0,0.0,0.0,76.0",0,18.5,0,"0.0,72.0,-72.0,-72.0,0.0,0.0,0.0,76.0",0,36.5,2,"0.0,72.0,0.0,0.0,0.0,0.0,0.0,76.0",0,18.5,0,"-68.0,4.0,-68.0,0.0,0.0,-72.0,-72.0,4.0",-68,36.0,3,"0.0,72.0,0.0,0.0,0.0,0.0,0.0,76.0",0,18.5,0,"0.0,72.0,0.0,0.0,-68.0,-68.0,0.0,76.0",0,35.5,2,"0.0,-72.0,0.0,0.0,0.0,0.0,0.0,-76.0",0,18.5,0,"72.0,-72.0,0.0,76.0,76.0,76.0,76.0,-76.0",76,65.5,3,"0.0,-72.0,0.0,0.0,0.0,0.0,0.0,-76.0",0,18.5,0,"76.0,4.0,0.0,0.0,0.0,0.0,80.0,4.0",0,20.5,0,"0.0,-72.0,0.0,0.0,0.0,0.0,0.0,-76.0",0,18.5,0,"0.0,8.0,80.0,80.0,80.0,0.0,0.0,8.0",0,32.0,0,0,5,3,R (5),1.061278124459133,2.25
"0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0",0,10.0,0,"-76.0,-76.0,0.0,0.0,0.0,80.0,-80.0,-80.0",0,49.0,2,"0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0",0,10.0,0,"-72.0,0.0,0.0,-76.0,-76.0,4.0,-76.0,0.0",0,38.0,2,"0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0",0,10.0,0,"0.0,0.0,-72.0,-72.0,0.0,80.0,0.0,0.0",0,28.0,1,"0.0,0.0,0.0,0.0,0.0,-80.0,0.0,0.0",0,10.0,0,"0.0,80.0,80.0,80.0,80.0,-80.0,0.0,84.0",80,60.5,2,"0.0,0.0,0.0,0.0,0.0,-80.0,0.0,0.0",0,10.0,0,"0.0,0.0,0.0,0.0,84.0,4.0,0.0,0.0",0,11.0,0,"0.0,0.0,0.0,0.0,0.0,-80.0,0.0,0.0",0,10.0,0,"84.0,84.0,84.0,0.0,0.0,8.0,88.0,88.0",84,54.5,0,0,5,3,R (5),0.5435644431995964,2.0
"0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0",0,10.5,0,"0.0,0.0,0.0,84.0,-84.0,-84.0,0.0,0.0",0,31.5,1,"0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0",0,10.5,0,"0.0,-80.0,-80.0,4.0,-80.0,0.0,0.0,-84.0",0,41.0,2,"0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0",0,10.5,0,"-76.0,-76.0,0.0,84.0,0.0,0.0,-80.0,-80.0",0,49.5,2,"0.0,0.0,0.0,-84.0,0.0,0.0,0.0,0.0",0,10.5,0,"84.0,84.0,84.0,-84.0,0.0,88.0,88.0,88.0",84,75.0,2,"0.0,0.0,0.0,-84.0,0.0,0.0,0.0,0.0",0,10.5,0,"0.0,0.0,88.0,4.0,0.0,0.0,0.0,0.0",0,11.5,0,"0.0,0.0,0.0,-84.0,0.0,0.0,0.0,0.0",0,10.5,0,"88.0,0.0,0.0,8.0,92.0,92.0,92.0,0.0",0,46.5,0,0,6,2,R (6),0.5435644431995964,2.25
"0.0,88.0,0.0,0.0,0.0,0.0,0.0,92.0",0,22.5,0,"0.0,88.0,-88.0,-88.0,0.0,0.0,0.0,92.0",0,44.5,2,"0.0,88.0,0.0,0.0,0.0,0.0,0.0,92.0",0,22.5,0,"-84.0,4.0,-84.0,0.0,0.0,-88.0,-88.0,4.0",-84,44.0,3,"0.0,88.0,0.0,0.0,0.0,0.0,0.0,92.0",0,22.5,0,"0.0,88.0,0.0,0.0,-84.0,-84.0,0.0,92.0",0,43.5,2,"0.0,-88.0,0.0,0.0,0.0,0.0,0.0,-92.0",0,22.5,0,"88.0,-88.0,0.0,92.0,92.0,92.0,92.0,-92.0",92,79.5,3,"0.0,-88.0,0.0,0.0,0.0,0.0,0.0,-92.0",0,22.5,0,"92.0,4.0,0.0,0.0,0.0,0.0,96.0,4.0",0,24.5,0,"0.0,-88.0,0.0,0.0,0.0,0.0,0.0,-92.0",0,22.5,0,"0.0,8.0,96.0,96.0,96.0,0.0,0.0,8.0",0,38.0,0,0,5,3,R (5),1.061278124459133,2.25
"0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0",0,12.0,0,"-92.0,-92.0,0.0,0.0,0.0,96.0,-96.0,-96.0",0,59.0,2,"0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0",0,12.0,0,"-88.0,0.0,0.0,-92.0,-92.0,4.0,-92.0,0.0",0,46.0,2,"0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0",0,12.0,0,"0.0,0.0,-88.0,-88.0,0.0,96.0,0.0,0.0",0,34.0,1,"0.0,0.0,0.0,0.0,0.0,-96.0,0.0,0.0",0,12.0,0,"0.0,96.0,96.0,96.0,96.0,-96.0,0.0,100.0",96,72.5,2,"0.0,0.0,0.0,0.0,0.0,-96.0,0.0,0.0",0,12.0,0,"0.0,0.0,0.0,0.0,100.0,4.0,0.0,0.0",0,13.0,0,"0.0,0.0,0.0,0.0,0.0,-96.0,0.0,0.0",0,12.0,0,"100.0,100.0,100.0,0.0,0.0,8.0,104.0,104.0",100,64.5,0,0,5,3,R (5),0.5435644431995964,2.0
"0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0",0,12.5,0,"0.0,0.0,0.0,100.0,-100.0,-100.0,0.0,0.0",0,37.5,1,"0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0",0,12.5,0,"0.0,-96.0,-96.0,4.0,-96.0,0.0,0.0,-100.0",0,49.0,2,"0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0",0,12.5,0,"-92.0,-92.0,0.0,100.0,0.0,0.0,-96.0,-96.0",0,59.5,2,"0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0",0,12.5,0,"100.0,100.0,100.0,-100.0,0.0,104.0,104.0,104.0",100,89.0,2,"0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0",0,12.5,0,"0.0,0.0,104.0,4.0,0.0,0.0,0.0,0.0",0,13.5,0,"0.0,0.0,0.0,-100.0,0.0,0.0,0.0,0.0",0,12.5,0,"104.0,0.0,0.0,8.0,108.0,108.0,108.0,0.0",0,54.5,0,0,6,2,R (6),0.5435644431995964,2.25
"0.0,104.0,0.0,0.0,0.0,0.0,0.0,108.0",0,26.5,0,"0.0,104.0,-104.0,-104.0,0.0,0.0,0.0,108.0",0,52.5,2,"0.0,104.0,0.0,0.0,0.0,0.0,0.0,108.0",0,26.5,0,"-100.0,4.0,-100.0,0.0,0.0,-104.0,-104.0,4.0",-100,52.0,3,"0.0,104.0,0.0,0.0,0.0,0.0,0.0,108.0",0,26.5,0,"0.0,104.0,0.0,0.0,-100.0,-100.0,0.0,108.0",0,51.5,2,"0.0,-104.0,0.0,0.0,0.0,0.0,0.0,-108.0",0,26.5,0,"104.0,-104.0,0.0,108.0,108.0,108.0,108.0,-108.0",108,93.5,3,"0.0,-104.0,0.0,0.0,0.0,0.0,0.0,-108.0",0,26.5,0,"108.0,4.0,0.0,0.0,0.0,0.0,112.0,4.0",0,28.5,0,"0.0,-104.0,0.0,0.0,0.0,0.0,0.0,-108.0",0,26.5,0,"0.0,8.0,112.0,112.0,112.0,0.0,0.0,8.0",0,44.0,0,0,5,3,R (5),1.061278124459133,2.25
"0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0",0,14.0,0,"-108.0,-108.0,0.0,0.0,0.0,112.0,-112.0,-112.0",0,69.0,2,"0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0",0,14.0,0,"-104.0,0.0,0.0,-108.0,-108.0,4.0,-108.0,0.0",0,54.0,2,"0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0",0,14.0,0,"0.0,0.0,-104.0,-104.0,0.0,112.0,0.0,0.0",0,40.0,1,"0.0,0.0,0.0,0.0,0.0,-112.0,0.0,0.0",0,14.0,0,"0.0,112.0,112.0,112.0,112.0,-112.0,0.0,116.0",112,84.5,2,"0.0,0.0,0.0,0.0,0.0,-112.0,0.0,0.0",0,14.0,0,"0.0,0.0,0.0,0.0,116.0,4.0,0.0,0.0",0,15.0,0,"0.0,0.0,0.0,0.0,0.0,-112.0,0.0,0.0",0,14.0,0,"116.0,116.0,116.0,0.0,0.0,8.0,120.0,120.0",116,74.5,0,0,5,3,R (5),0.5435644431995964,2.0
"0.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0",0,14.5,0,"0.0,0.0,0.0,116.0,-116.0,-116.0,0.0,0.0",0,43.5,1,"0.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0",0,14.5,0,"0.0,-112.0,-112.0,4.0,-112.0,0.0,0.0,-116.0",0,57.0,2,"0.0,0.0,0.0,116.0,0.0,0.0,0.0,0.0",0,14.5,0,"-108.0,-108.0,0.0,116.0,0.0,0.0,-112.0,-112.0",0,69.5,2,"0.0,0.0,0.0,-116.0,0.0,0.0,0.0,0.0",0,14.5,0,"116.0,116.0,116.0,-116.0,0.0,120.0,120.0,120.0",116,103.0,2,"0.0,0.0,0.0,-116.0,0.0,0.0,0.0,0.0",0,14.5,0,"0.0,0.0,120.0,4.0,0.0,0.0,0.0,0.0",0,15.5,0,"0.0,0.0,0.0,-116.0,0.0,0.0,0.0,0.0",0,14.5,0,"120.0,0.0,0.0,8.0,124.0,124.0,124.0,0.0",0,62.5,0,0,6,2,R (6),0.5435644431995964,2.25
"0.0,120.0,0.0,0.0,0.0,0.0,0.0,124.0",0,30.5,0,"0.0,120.0,-120.0,-120.0,0.0,0.0,0.0,124.0",0,60.5,2,"0.0,120.0,0.0,0.0,0.0,0.0,0.0,124.0",0,30.5,0,"-116.0,4.0,-116.0,0.0,0.0,-120.0,-120.0,4.0",-116,60.0,3,"0.0,120.0,0.0,0.0,0.0,0.0,0.0,124.0",0,30.5,0,"0.0,120.0,0.0,0.0,-116.0,-116.0,0.0,124.0",0,59.5,2,"0.0,-120.0,0.0,0.0,0.0,0.0,0.0,-124.0",0,30.5,0,"120.0,-120.0,0.0,124.0,124.0,124.0,124.0,-124.0",124,107.5,3,"0.0,-120.0,0.0,0.0,0.0,0.0,0.0,-124.0",0,30.5,0,"124.0,4.0,0.0,0.0,0.0,0.0,128.0,4.0",0,32.5,0,"0.0,-120.0,0.0,0.0,0.0,0.0,0.0,-124.0",0,30.5,0,"0.0,8.0,128.0,128.0,128.0,0.0,0.0,8.0",0,50.0,0,0,5,3,R (5),1.061278124459133,2.25
