Delta_with_1_last_read_mean,Delta_with_1_last_read_std,Delta_with_1_last_read_median,Delta_with_1_last_read_unique,Delta_with_1_last_read_zeros_frac,Delta_with_1_last_read_entropy,Delta_with_1_last_read_mode,Delta_with_1_last_read_mode_count,Delta_with_1_last_read_ac_first_peak,Delta_with_1_last_read_fft_dom_bin,Delta_with_1_last_read_fft_dom_power,Delta_with_2_last_read_mean,Delta_with_2_last_read_std,Delta_with_2_last_read_median,Delta_with_2_last_read_unique,Delta_with_2_last_read_zeros_frac,Delta_with_2_last_read_entropy,Delta_with_2_last_read_mode,Delta_with_2_last_read_mode_count,Delta_with_2_last_read_ac_first_peak,Delta_with_2_last_read_fft_dom_bin,Delta_with_2_last_read_fft_dom_power,Delta_with_1_last_write_mean,Delta_with_1_last_write_std,Delta_with_1_last_write_median,Delta_with_1_last_write_unique,Delta_with_1_last_write_zeros_frac,Delta_with_1_last_write_entropy,Delta_with_1_last_write_mode,Delta_with_1_last_write_mode_count,Delta_with_1_last_write_ac_first_peak,Delta_with_1_last_write_fft_dom_bin,Delta_with_1_last_write_fft_dom_power,Delta_with_2_last_write_mean,Delta_with_2_last_write_std,Delta_with_2_last_write_median,Delta_with_2_last_write_unique,Delta_with_2_last_write_zeros_frac,Delta_with_2_last_write_entropy,Delta_with_2_last_write_mode,Delta_with_2_last_write_mode_count,Delta_with_2_last_write_ac_first_peak,Delta_with_2_last_write_fft_dom_bin,Delta_with_2_last_write_fft_dom_power,start,length,Target,Fine grained Target
0.0724065810660178,9.896658306789408,0.0,38,0.36,2.95035557107332,0.0,36,7,16,195.06072639796,-0.7336726108705882,9.66137347753591,0.0,37,0.36,2.5204921915521097,0.0,36,20,15,209.9734811172466,-0.8859858121385342,7.287642920278521,0.0,36,0.3,2.7052441499271787,0.0,30,4,25,209.3297437853572,1.230065724672916,7.8297949416585935,1.6094379124341005,39,0.23,2.226059663790963,0.0,23,2,1,280.4573113894926,0,100,2,1
-1.1615143373439043,2.912463551897704,0.0,17,0.5,1.999422768157834,0.0,50,2,50,193.4044535312273,-0.5790399811279866,2.919052703264392,0.0,17,0.5,1.999422769022575,0.0,50,4,50,172.8179223414474,1.0574617139360876,4.580425621872442,0.0,29,0.38,2.147231523810258,0.0,38,4,25,242.97879438208568,4.858473828558086,3.3230030605302505,7.369599926424049,20,0.24,1.296721674640182,0.0,24,8,13,101.97681925624744,50,100,2,1
-1.1291004455329807,2.9043053439623567,0.0,17,0.51,1.979275602069112,0.0,51,2,50,190.1630643501349,-0.5931902297151144,2.906833373780885,0.0,17,0.51,1.979275603956786,0.0,51,4,50,171.014071375292,1.1291004455329807,4.612854681594829,0.0,29,0.37,2.152795954363044,0.0,37,4,25,248.7445101643481,4.701403193759387,3.363777741127374,7.353081920515432,20,0.26,1.3229349239878836,0.0,26,8,12,104.455807760206,100,100,2,1
-1.0373997254469298,2.862162234955528,0.0,16,0.5,1.9994227684329788,0.0,50,2,50,187.43074399126624,-0.503131992030626,2.8450424033676835,0.0,16,0.5,1.999422769022575,0.0,50,4,50,168.09729248229002,1.1414523488547468,4.494127123832763,0.0,28,0.37,1.7497113841590284,0.0,37,4,25,241.1344635251197,4.749028607890827,3.351918312921822,7.337587743538596,21,0.26,1.2999446507334609,0.0,26,8,13,101.48736927145715,150,100,2,1
-1.0659685382377464,2.863047656130408,0.0,16,0.49,2.0192813763138227,0.0,49,2,50,190.28762527034783,-0.4851853400277697,2.847925763576527,0.0,16,0.49,2.019281376274536,0.0,49,4,50,169.52150310687256,1.0659685382377464,4.4429049718190585,0.0,27,0.38,2.156942907887222,0.0,38,4,25,234.50613861248027,4.885652204492141,3.2935029240022256,7.321849713788356,21,0.24,1.273269689717213,0.0,24,8,12,104.01895619866588,200,100,2,1
-1.1531072597331724,2.8945517643823644,0.0,17,0.5,1.999422768157834,0.0,50,2,50,192.563745770154,-0.5707402982252523,2.899707235237156,0.0,17,0.5,1.9994227689832689,0.0,50,4,50,171.98795405117397,1.0497114711913116,4.542668459799559,0.0,29,0.38,2.147231523810258,0.0,38,4,25,241.16598182766649,4.817896005057095,3.292219501028909,7.304515041960405,20,0.24,1.296721674640182,0.0,24,8,13,101.08047387592886,250,100,2,1
-1.1205607660407522,2.886008938563497,0.0,17,0.51,1.979275602069112,0.0,51,2,50,189.30909640091204,-0.5847613386335542,2.8871888045151097,0.0,17,0.51,1.9792756039174595,0.0,51,4,50,170.17118226713598,1.1205607660407522,4.574076926505037,0.0,29,0.37,2.152795954363044,0.0,37,4,25,246.8439875732645,4.66147789624171,3.332176644641237,7.2868764117507,20,0.26,1.3229349239878836,0.0,26,8,12,103.51738808679984,300,100,2,1
-1.0293800269358555,2.844519481195152,0.0,16,0.5,1.9994227684329788,0.0,50,2,50,186.6287741401588,-0.4952181194122066,2.8259949583965103,0.0,16,0.5,1.9994227689832689,0.0,50,4,50,167.30590522044807,1.132775815477716,4.455952759096954,0.0,28,0.37,1.7497113841590284,0.0,37,4,25,239.29357589014208,4.707771727755073,3.3199308117625663,7.270312886079025,21,0.26,1.2999446507334609,0.0,26,8,13,100.55802532523693,350,100,2,1
-1.057818050003229,2.84524986365839,0.0,16,0.49,2.0192813763138227,0.0,49,2,50,189.4725764468961,-0.477144135640665,2.82858472780374,0.0,16,0.49,2.019281376274536,0.0,49,4,50,168.71738266816214,1.057818050003229,4.40454305343212,0.0,27,0.38,2.156942907887222,0.0,38,4,25,232.69499590866656,4.84234649705983,3.2613403502108333,7.253470382684528,21,0.24,1.273269689717213,0.0,24,8,12,103.05073584753532,400,100,2,1
-1.144118612839896,2.875459490236688,0.0,17,0.5,1.999422768118528,0.0,50,2,50,191.66488108082643,-0.5618743173893676,2.879075126699991,0.0,17,0.5,1.9994227689832689,0.0,50,4,50,171.1013559675855,1.041425854404982,4.502325642924877,0.0,29,0.38,2.147231523810258,0.0,38,4,25,239.2279731180114,4.774523198957999,3.2593223806518576,7.234897380687892,20,0.24,1.296721674640182,0.0,24,8,13,100.1227707052112,450,100,2,1
