Delta_with_1_last_read_mean,Delta_with_1_last_read_std,Delta_with_1_last_read_median,Delta_with_1_last_read_unique,Delta_with_1_last_read_zeros_frac,Delta_with_1_last_read_entropy,Delta_with_1_last_read_mode,Delta_with_1_last_read_mode_count,Delta_with_1_last_read_ac_first_peak,Delta_with_1_last_read_fft_dom_bin,Delta_with_1_last_read_fft_dom_power,Delta_with_1_last_write_mean,Delta_with_1_last_write_std,Delta_with_1_last_write_median,Delta_with_1_last_write_unique,Delta_with_1_last_write_zeros_frac,Delta_with_1_last_write_entropy,Delta_with_1_last_write_mode,Delta_with_1_last_write_mode_count,Delta_with_1_last_write_ac_first_peak,Delta_with_1_last_write_fft_dom_bin,Delta_with_1_last_write_fft_dom_power,start,length,Target
0.713943096319574,13.424021014965168,0.0,51,0.2,3.0851342399675614,0.0,20,5,19,257.6988589451696,-4.789053788871552,7.862145293162414,-3.2930858274273374,34,0.07,2.4425717358369963,-8.318010277546872,30,5,2,150.08204853487553,0,100,1
-1.426284489048515,4.496023947703542,0.0,19,0.22,2.502630020006234,0.0,22,2,50,117.09860474828189,-2.436021983496711,5.75536138393507,-2.19722457733622,19,0.19,2.501644491247819,-8.318010277546872,30,4,1,229.31132010907595,50,100,1
-1.129083963781334,3.819820870913144,-1.6094379124341005,17,0.09,2.1113658185084163,-1.6094379124341005,18,11,9,123.131433512157,0.4950967791863662,5.969782493900542,0.0,23,0.28,2.407510935523188,0.0,28,11,18,241.320066657286,100,100,1
-1.272159964192887,3.920900084598129,-1.6094379124341005,18,0.09,2.1307910039127,-1.6094379124341005,18,11,9,129.57988269828274,0.3841650266022037,6.079842005378194,0.0,24,0.27,1.8828511287998164,0.0,27,11,18,255.1039551757772,150,100,1
-1.17731770413096,3.7948624021093633,-1.6094379124341005,17,0.09,2.121170835977113,-1.6094379124341005,19,11,9,118.39111741466242,0.4789530060508711,5.972992861023121,0.0,23,0.27,2.407510935523188,0.0,27,11,18,242.204442094805,200,100,1
-1.1451014913719806,3.804627605787672,-1.6094379124341005,17,0.09,2.1113658185084163,1.6094379124341005,19,11,9,116.95380642701237,0.6059352266138333,6.061466216468866,0.0,24,0.27,1.8732309608642497,0.0,27,11,18,254.2413681353932,250,100,1
-1.145079521732147,3.804570176108833,-1.6094379124341005,17,0.09,2.1113658185084163,1.6094379124341005,19,11,9,121.39839989748867,0.4949979640406338,5.969239911407396,0.0,23,0.28,2.407510935523188,0.0,28,11,18,243.0251028076738,300,100,1
-1.1611464312629052,3.796207068867256,-1.6094379124341005,17,0.1,2.1307910039127,-1.6094379124341005,18,11,9,118.20138660379696,0.6058748079237322,6.061180800632481,0.0,24,0.27,1.8732309608642497,0.0,27,11,18,254.2307572619026,350,100,1
-1.1306792251725788,3.8174883432923545,-1.6094379124341005,17,0.09,2.1113658185084163,-1.6094379124341005,18,11,9,122.26701066305876,0.5253937401300606,5.974128418056615,0.0,23,0.27,2.422851128756,0.0,27,11,18,246.04334676728337,400,100,1
-1.1830692106297247,3.795652407915628,-1.6094379124341005,17,0.09,2.115450810679857,-1.6094379124341005,18,11,9,118.92781456203876,0.4729487869645967,5.97464028181406,0.0,23,0.27,2.407510935523188,0.0,27,11,18,244.1751057477704,450,100,1
-1.1915201954339696,3.7987938871772906,-1.6094379124341005,17,0.09,2.115450810679857,-1.6094379124341005,18,11,9,121.84481567005987,0.4948990402819362,5.968696736111082,0.0,23,0.28,2.407510935523188,0.0,28,11,18,245.04663768240616,500,100,1
-1.18937960468737,3.797749523315993,-1.6094379124341005,17,0.09,2.115450810679857,-1.6094379124341005,18,11,9,118.78743687865568,0.4626827839037563,5.979797024553227,0.0,23,0.27,2.422851128756,0.0,27,11,18,244.46085260902768,550,100,1
